source,title,link,summary,published
BBC News,Final seats to be filled in Irish general election,https://www.bbc.com/news/articles/cpdnlv8n758o,"With all 43 constituencies' first counts in, Fianna Fáil won the most first preference votes with 21.9%.","Mon, 02 Dec 2024 09:29:23 GMT"
BBC News,Newscast,https://www.bbc.co.uk/sounds/play/p0k85n66,And Gregg Wallace speaks.,"Sun, 01 Dec 2024 13:50:00 GMT"
BBC News,The Trump Trials... Cases Closed?,https://www.bbc.co.uk/sounds/play/p0k7n1h0,Is Donald now above the law?,"Fri, 29 Nov 2024 06:00:00 GMT"
BBC News,'Liverpool are the real deal' - why it will be hard to stop them now,https://www.bbc.com/sport/football/articles/c62z8mpd585o,MOTD2 pundit Alan Shearer explains why it will be hard for anyone to catch Premier League leaders Liverpool following Sunday's win over Manchester City.,"Mon, 02 Dec 2024 08:03:49 GMT"
BBC News,How Liverpool mixed best of Klopp & Slot to beat Man City,https://www.bbc.com/sport/football/articles/cvg656ypej7o,"Liverpool's perfect mix and match of Jurgen Klopp's heavy metal and Arne Slot's symphony destroyed Manchester City, writes Phil McNulty.","Sun, 01 Dec 2024 21:05:14 GMT"
BBC News,McLaren call for inquiry into Norris penalty as FIA under scrutiny,https://www.bbc.com/sport/formula1/articles/c77jlregl8do,McLaren call for an inquiry into the penalty Lando Norris was given for ignoring yellow flags during the Qatar Grand Prix.,"Mon, 02 Dec 2024 09:38:10 GMT"
BBC News,From postman to world champion - the life of snooker great Griffiths,https://www.bbc.com/sport/snooker/articles/cwyv571ex7go,"BBC Sport remembers the life and achievements of former world champion Terry Griffiths, who has died aged 77.","Mon, 02 Dec 2024 00:07:32 GMT"
BBC News,Trump beats Hawkins to win second UK Championship crown,https://www.bbc.com/sport/snooker/articles/cql53rrqe95o,Judd Trump claims his second UK Championship title with a hard-fought 10-8 victory over Barry Hawkins at the Barbican in York.,"Mon, 02 Dec 2024 00:20:48 GMT"
BBC News,How 'excellent' Van Dijk kept Haaland & Man City quiet,https://www.bbc.com/sport/football/videos/cq5ldwllxp2o,"Match of the Day pundit David Moyes analyses Virgil van Dijk's ""excellent"" performance in Liverpool's 2-0 win over Manchester City at Anfield.","Sun, 01 Dec 2024 23:45:10 GMT"
BBC News,"Police feel unsafe working at carnival, survey claims",https://www.bbc.com/news/articles/c5yvk5dk38xo,A survey of 486 officers who work at the event finds 28% have been assaulted and 88% feel unsafe.,"Mon, 02 Dec 2024 06:08:10 GMT"
BBC News,Police dawn raids target new organised crime group,https://www.bbc.com/news/articles/c3vlvne6g1qo,BBC Scotland News follows Operation Silhouette as the serious and organised crime unit raids homes near Glasgow.,"Mon, 02 Dec 2024 06:16:07 GMT"
BBC News,Former world snooker champion Griffiths dies aged 77,https://www.bbc.com/sport/snooker/articles/c5y78g8828xo,"Former world snooker champion Terry Griffiths has died aged 77, the World Snooker Tour has confirmed.","Sun, 01 Dec 2024 23:35:01 GMT"
CNN.com - RSS Channel - HP Hero,"Some on-air claims about Dominion Voting Systems were false, Fox News acknowledges in statement after deal is announced",https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/index.html,,"Wed, 19 Apr 2023 12:44:51 GMT"
CNN.com - RSS Channel - HP Hero,Dominion still has pending lawsuits against election deniers such as Rudy Giuliani and Sidney Powell,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/h_8d51e3ae2714edaa0dace837305d03b8,,Unknown
CNN.com - RSS Channel - HP Hero,Here are the 20 specific Fox broadcasts and tweets Dominion says were defamatory,https://www.cnn.com/2023/04/17/media/dominion-fox-news-allegations/index.html,"• Fox-Dominion trial delay 'is not unusual,' judge says
• Fox News' defamation battle isn't stopping Trump's election lies","Mon, 17 Apr 2023 16:01:11 GMT"
CNN.com - RSS Channel - HP Hero,Judge in Fox News-Dominion defamation trial: 'The parties have resolved their case',https://www.cnn.com/2023/04/18/media/fox-dominion-settlement/index.html,The judge just announced in court that a settlement has been reached in the historic defamation case between Fox News and Dominion Voting Systems.,"Wed, 19 Apr 2023 08:28:17 GMT"
CNN.com - RSS Channel - HP Hero,'Difficult to say with a straight face': Tapper reacts to Fox News' statement on settlement,https://www.cnn.com/videos/politics/2023/04/18/jake-tapper-dominion-lawsuit-settlement-fox-news-statement-lead-vpx.cnn,"A settlement has been reached in Dominion Voting Systems' defamation case against Fox News, the judge for the case announced. The network will pay more than $787 million to Dominion, a lawyer for the company said.","Tue, 18 Apr 2023 21:17:44 GMT"
CNN.com - RSS Channel - HP Hero,Millions in the US could face massive consequences unless McCarthy can navigate out of a debt trap he set for Biden,https://www.cnn.com/2023/04/18/politics/mccarthy-biden-debt-ceiling/index.html,"• DeSantis goes to Washington, a place he once despised, looking for support to take on Trump
• Opinion: For the GOP to win, it must ditch Trump
• Chris Christie mulling 2024 White House bid
• Analysis: The fire next time has begun burning in Tennessee","Tue, 18 Apr 2023 20:34:45 GMT"
CNN.com - RSS Channel - HP Hero,White homeowner accused of shooting a Black teen who rang his doorbell turns himself in to face criminal charges,https://www.cnn.com/2023/04/18/us/kansas-city-ralph-yarl-shooting-tuesday/index.html,"• 'A major part of Ralph died': Aunt of teen shot after ringing wrong doorbell speaks
• 20-year-old woman shot after friend turned into the wrong driveway in upstate New York, officials say","Wed, 19 Apr 2023 04:29:05 GMT"
CNN.com - RSS Channel - HP Hero,Newly released video shows scene of Jeremy Renner's snowplow accident,https://www.cnn.com/videos/us/2023/04/18/jeremy-renner-snowplow-accident-bodycam-nc-melas-contd-vpx.cnn,"Newly released body camera footage shows firefighters and sheriff's deputies rushing to help actor Jeremy Renner after a near-fatal snowplow accident in January. The ""Avengers"" actor broke more than 30 bones and suffered other severe injuries. CNN's Chloe Melas has more.","Tue, 18 Apr 2023 14:09:43 GMT"
CNN.com - RSS Channel - HP Hero,Jake Gyllenhaal and Jamie Lee Curtis spent the Covid-19 lockdown together,https://www.cnn.com/2023/04/18/entertainment/jake-gyllenhaal-jamie-lee-curtis-pandemic-living/index.html,It's sourdough bread and handstands for Jake Gyllenhaal and Jamie Lee Curtis.,"Tue, 18 Apr 2023 14:40:32 GMT"
CNN.com - RSS Channel - HP Hero,"Toddler crawls through White House fence, prompts Secret Service response",https://www.cnn.com/2023/04/18/politics/white-house-toddler/index.html,"A tiny intruder infiltrated White House grounds Tuesday, prompting a swift response from the US Secret Service.","Tue, 18 Apr 2023 17:38:16 GMT"
CNN.com - RSS Channel - HP Hero,Jamie Foxx remains hospitalized nearly a week after 'medical complication',https://www.cnn.com/2023/04/17/entertainment/jamie-foxx-remains-hospitalized/index.html,"Jamie Foxx remains hospitalized in Georgia nearly a week after his daughter revealed the actor experienced a ""medical complication,"" a source with knowledge of the matter told CNN on Monday.","Tue, 18 Apr 2023 00:27:07 GMT"
CNN.com - RSS Channel - HP Hero,A 13-year-old dies after participating in a Benadryl TikTok 'challenge',https://www.cnn.com/2023/04/18/us/benadryl-tiktok-challenge-teen-death-wellness/index.html,"A 13-year-old in Ohio has died after ""he took a bunch of Benadryl,"" trying a dangerous TikTok challenge that's circulating online, according to a CNN affiliate and a GoFundMe account from his family.","Wed, 19 Apr 2023 15:01:06 GMT"
CNN.com - RSS Channel - HP Hero,See pizza delivery guy take out suspect fleeing police,https://www.cnn.com/videos/us/2023/04/18/pizza-guy-trips-perp-moos-cprog-orig-bdk.cnn,"Pizza guy delivers more than a pie, taking out a fleeing suspect. CNN's Jeanne Moos shows him putting his best foot forward.","Tue, 18 Apr 2023 16:40:22 GMT"
CNN.com - RSS Channel - HP Hero,Netflix is winding down its DVD business after 25 years,https://www.cnn.com/2023/04/18/media/netflix-dvd-red-envelopes/index.html,Netflix is officially winding down the business that helped make it a household name.,"Tue, 18 Apr 2023 20:10:51 GMT"
CNN.com - RSS Channel - HP Hero,FTC chair Lina Khan warns AI could 'turbocharge' fraud and scams,https://www.cnn.com/2023/04/18/tech/lina-khan-ai-warning/index.html,"Artificial intelligence tools such as ChatGPT could lead to a ""turbocharging"" of consumer harms including fraud and scams, and the US government has substantial authority to crack down on AI-driven consumer harms under existing law, members of the Federal Trade Commission said Tuesday.","Tue, 18 Apr 2023 17:59:38 GMT"
CNN.com - RSS Channel - HP Hero,"Eating too much of these foods is driving the rise in type 2 diabetes, study says",https://www.cnn.com/2023/04/17/health/rise-type-2-diabetes-global-wellness/index.html,"Gobbling up too many refined wheat and rice products, along with eating too few whole grains, is fueling the growth of new cases of type 2 diabetes worldwide, according to a new study that models data through 2018.","Mon, 17 Apr 2023 16:02:46 GMT"
CNN.com - RSS Channel - HP Hero,ADHD medication abuse in schools is a 'wake-up call',https://www.cnn.com/2023/04/18/health/teen-misuse-adhd-meds-wellness/index.html,"At some middle and high schools in the United States, 1 in 4 teens report they've abused prescription stimulants for attention deficit hyperactivity disorder during the year prior, a new study found.","Tue, 25 Apr 2023 17:44:36 GMT"
CNN.com - RSS Channel - HP Hero,Apple CEO was presented with an original Macintosh. See his reaction,https://www.cnn.com/videos/tech/2023/04/18/apple-store-mumbai-india-ceo-tim-cook-vedika-sud-ovn-biz-ldn-vpx.cnn,CEO Tim Cook personally welcomed customers to the new Apple store in Mumbai as the tech company opens its first retail stores in India. CNN's Vedika Sud reports.,"Tue, 18 Apr 2023 09:17:25 GMT"
CNN.com - RSS Channel - HP Hero,Democrats bash Justice Clarence Thomas but their plan to investigate ethics allegations is unclear,https://www.cnn.com/2023/04/18/politics/clarence-thomas-ethics-democrats/index.html,"Senate Democrats railed against Justice Clarence Thomas on Tuesday amid reports that the Supreme Court conservative failed to disclose luxury travel, gifts and a real estate transaction involving a GOP megadonor, but their plan to investigate the conservative jurist remains unclear.","Tue, 18 Apr 2023 20:29:46 GMT"
CNN.com - RSS Channel - HP Hero,"Russia is 'going backwards' in equipment and deploying post WWII-era tanks, according to Western officials",https://www.cnn.com/europe/live-news/russia-ukraine-war-news-04-18-23/index.html,"• Jailed Wall Street Journal reporter Evan Gershkovich denied detention appeal in Moscow
• Putin visits Russian troops at military headquarters in Kherson
• Watch moment WSJ journalist appears in Russian court",Unknown
CNN.com - RSS Channel - HP Hero,Two Russians claiming to be former Wagner commanders admit killing children and civilians in Ukraine,https://www.cnn.com/2023/04/17/europe/wagner-commanders-russia-kill-children-intl-hnk/index.html,Two Russian men who claim to be former Wagner Group commanders have told a human rights activist that they killed children and civilians during their time in Ukraine.,"Tue, 18 Apr 2023 19:07:52 GMT"
CNN.com - RSS Channel - HP Hero,'My stomach is hurting from laughing': Hear panelist's reaction to DeSantis' threat to Disney,https://www.cnn.com/videos/business/2023/04/18/desantis-disney-competition-panel-reax-pt-vpx.cnn,CNN panelists react to Florida Gov. Ron DeSantis floating the idea of building a competing theme park next to Disney World in Orlando.,"Tue, 18 Apr 2023 03:24:56 GMT"
CNN.com - RSS Channel - HP Hero,GOP prepared to block vote to replace Feinstein on Senate Judiciary,https://www.cnn.com/2023/04/18/politics/schumer-senate-feinstein-vote-cardin/index.html,"Senate Majority Leader Chuck Schumer said on Tuesday that he hopes to replace Democratic Sen. Dianne Feinstein on the Senate Judiciary Committee with Sen. Ben Cardin of Maryland and aims to set up a floor vote on the issue this afternoon, which Republicans are expected to block.","Tue, 18 Apr 2023 22:03:13 GMT"
CNN.com - RSS Channel - HP Hero,Oklahoma governor calls on officials to resign over recording of racist and threatening remarks,https://www.cnn.com/2023/04/18/us/mccurtain-county-oklahoma-officials-recording/index.html,,"Tue, 18 Apr 2023 17:33:17 GMT"
CNN.com - RSS Channel - HP Hero,McCarthy slams Biden in handling of US debt,https://www.cnn.com/videos/politics/2023/04/18/kevin-mccarthy-wall-street-speech-debt-ceiling-biden-economy-vpx.cnn,House Speaker Kevin McCarthy traveled to Wall Street on Monday to deliver a fresh warning that the House GOP majority will refuse to lift a cap on government borrowing unless Biden agrees to spending cuts that would effectively neutralize his domestic agenda.,"Tue, 18 Apr 2023 22:03:01 GMT"
CNN.com - RSS Channel - HP Hero,US warns Russia not to touch American nuclear technology at Ukrainian nuclear plant,https://www.cnn.com/2023/04/18/politics/us-warns-russia-zaporizhzhia-nuclear-plant/index.html,"The US has sensitive nuclear technology at a nuclear power plant inside Ukraine and is warning Russia not to touch it, according to a letter the US Department of Energy sent to Russia's state-owned nuclear energy firm Rosatom last month.","Wed, 19 Apr 2023 08:35:33 GMT"
CNN.com - RSS Channel - HP Hero,Repeated gunshots fired on live TV as ex-lawmaker shot by assassins,https://www.cnn.com/videos/world/2023/04/18/india-ex-lawmaker-atiq-ahmed-assassination-sud-pkg-contd-ovn-intl-hnk-vpx.cnn,"Atiq Ahmed, a former lawmaker in India's parliament, convicted of kidnapping, was shot dead along with his brother while police were escorting them for a medical check-up in a slaying caught on live television on Saturday. CNN's Vedika Sud reports.","Tue, 18 Apr 2023 09:41:42 GMT"
CNN.com - RSS Channel - HP Hero,FDA clears the way for additional bivalent boosters for certain vulnerable individuals,https://www.cnn.com/2023/04/18/health/fda-bivalent-booster-additional-doses/index.html,"The U.S. Food and Drug Administration amended the terms of its emergency use authorizations for the Pfizer and Moderna bivalent vaccines on Tuesday, allowing people ages 65 and older and certain people with weakened immunity to get additional doses before this fall's vaccination campaigns.","Tue, 18 Apr 2023 15:09:15 GMT"
CNN.com - RSS Channel - HP Hero,Maine authorities detained a person of interest after 4 people were found dead in a home and 3 others shot while driving,https://www.cnn.com/2023/04/18/us/maine-shooting-bowdoin-yarmouth/index.html,"Maine authorities have detained a person of interest and continue to investigate after two shooting incidents that appear to be connected left at least four people dead and three others injured, state police said.","Wed, 19 Apr 2023 01:49:51 GMT"
CNN.com - RSS Channel - HP Hero,Southwest says flights resumed after delays caused by 'tech issues',https://www.cnn.com/travel/article/southwest-airlines-flight-delays/index.html,"• Delta Air Lines reports record bookings for summer travel
• Air France and Airbus acquitted in trial over 2009 plane crash","Tue, 18 Apr 2023 17:15:29 GMT"
CNN.com - RSS Channel - HP Hero,Damar Hamlin cleared to resume football activities after January cardiac arrest,https://www.cnn.com/2023/04/18/sport/damar-hamlin-cleared-to-train-nfl-spt-intl/index.html,"Buffalo Bills safety Damar Hamlin, who has been cleared to resume football activities, said Tuesday his cardiac arrest during an NFL game in January was caused by commotio cordis.","Tue, 18 Apr 2023 22:11:37 GMT"
CNN.com - RSS Channel - HP Hero,Pilot makes history after landing on top of a 56-story hotel,https://www.cnn.com/videos/travel/2023/03/17/pilot-lands-on-dubai-helipad-cprog-orig-aw-ao.cnn,Polish pilot Lukasz Czepiela made history after landing a plane on a helipad at the top of a 56-story hotel in Dubai.,"Sun, 19 Mar 2023 11:22:30 GMT"
CNN.com - RSS Channel - HP Hero,Top US Navy admiral defends non-binary sailor amid some Republican criticism,https://www.cnn.com/2023/04/18/politics/gilday-defends-non-binary-sailor/index.html,"The top US Navy admiral ardently defended a non-binary sailor on Tuesday amid some criticism from Republican lawmakers, saying he is ""particularly proud of this sailor.""","Tue, 18 Apr 2023 19:56:40 GMT"
CNN.com - RSS Channel - HP Hero,Fulton County DA says fake Trump electors are incriminating one another and wants lawyer disqualified,https://www.cnn.com/2023/04/18/politics/fulton-county-trump-fake-electors/index.html,"The Fulton County District Attorney's office said some fake electors for Donald Trump have implicated each other in potential criminal activity and is seeking to disqualify their lawyer, according to a new court filing.","Wed, 19 Apr 2023 15:31:24 GMT"
CNN.com - RSS Channel - HP Hero,High speed trains are racing across the world. But not in America,https://www.cnn.com/travel/article/high-speed-rail-us/index.html,High speed trains have proved their worth across the world over the past 50 years.,"Wed, 19 Apr 2023 02:39:40 GMT"
CNN.com - RSS Channel - HP Hero,Podcast: One country musician is calling for other artists to oppose assault rifles,https://www.cnn.com/audio/podcasts/the-assignment/episodes/42a2f0e2-066a-4675-82ff-afe2016a0bb5,,Unknown
CNN.com - RSS Channel - HP Hero,Here's what you need to know if you haven't filed your return yet — and even if you have,https://www.cnn.com/2023/04/18/success/tax-day-2023-file-irs/index.html,"It's April 18, the official deadline to file your federal and state income tax returns for 2022. (It is also, apparently, National Animal Crackers Day for those who celebrate.)","Tue, 18 Apr 2023 14:15:43 GMT"
CNN.com - RSS Channel - HP Hero,"Undocumented immigrants are paying their taxes today, too",https://www.cnn.com/2023/04/18/us/undocumented-immigrants-taxes-cec/index.html,It's a surprising fact that's often overlooked in the immigration debate.,"Tue, 18 Apr 2023 18:29:24 GMT"
CNN.com - RSS Channel - HP Hero,Opinion: Why millionaires like us want to pay more in taxes,https://www.cnn.com/2023/04/17/opinions/us-tax-system-wealthy-disney-pearl/index.html,"Tuesday is Tax Day in America, one of the most stressful days of the year, when many taxpayers will finally end their procrastination, file their federal returns, and hope for a refund from the IRS. But for many of the nation's wealthiest, it's just another Tuesday.","Mon, 17 Apr 2023 19:32:49 GMT"
CNN.com - RSS Channel - HP Hero,'World's longest' purpose-built cycling tunnel opens in Norway,https://www.cnn.com/travel/article/worlds-longest-cycling-tunnel/index.html,"There are many ways to explore the seven mountains that surround the picturesque UNESCO World Heritage city of Bergen on Norway's fjord-studded west coast. The newest, however, might well be record-breaking.","Tue, 18 Apr 2023 10:44:27 GMT"
CNN.com - RSS Channel - HP Hero,Artist rejects photo prize after AI-generated image wins award,https://www.cnn.com/style/article/ai-photo-win-sony-scli-intl/index.html,A German artist has rejected an award from a prestigious international photography competition after revealing that his submission was generated by Artificial Intelligence (AI).,"Tue, 18 Apr 2023 15:27:54 GMT"
CNN.com - RSS Channel - HP Hero,These ships disappeared in Lake Superior a century ago. Watch as they're found again,https://www.cnn.com/videos/travel/2023/04/18/century-old-shipwrecks-lake-superior-discovery-contd-orig-zt.cnn,"The Great Lakes Shipwreck Historical Society has found two of three ships that sank in the same Lake Superior storm more than a century ago, locating one in 2021 and the other in 2022.","Tue, 18 Apr 2023 19:29:01 GMT"
CNN.com - RSS Channel - HP Hero,Erotic images of seniors show sex and intimacy in new light,https://www.cnn.com/style/article/marilyn-minter-artist-elder-sex/index.html,"What does intimacy look like for seniors? There's no end to sex scenes and other steamy content featuring the young and unwrinkled, but past a certain age, popular culture largely draws a blank — or treats sex as a punchline.","Tue, 18 Apr 2023 03:24:57 GMT"
CNN.com - RSS Channel - HP Hero,"China's economy is off to a solid start, rising 4.5% in Q1 2023",https://www.cnn.com/2023/04/17/economy/china-gdp-q1-2023-intl-hnk/index.html,China's economy is off to a solid start in 2023 following its emergence from three years of strict pandemic restrictions.,"Tue, 18 Apr 2023 07:01:12 GMT"
CNN.com - RSS Channel - HP Hero,"Even when wives make as much as husbands, they still do more at home",https://www.cnn.com/2023/04/16/success/husbands-wives-earning-division-of-labor-pew-survey/index.html,"• Four out of the five US metro areas with the lowest unemployment are in Florida. Here's why
• Opinion: The overlooked problem with raising the retirement age for Social Security","Sun, 16 Apr 2023 17:29:49 GMT"
CNN.com - RSS Channel - HP Hero,McDonald's is upgrading its burgers,https://www.cnn.com/2023/04/17/business/mcdonalds-burgers/index.html,"McDonald's, which has been focusing on upgrading its core items to boost sales, is rolling out a series of changes designed to improve its signature burgers.","Mon, 17 Apr 2023 16:31:30 GMT"
CNN.com - RSS Channel - HP Hero,Google-parent stock drops on fears it could lose search market share to AI-powered rivals,https://www.cnn.com/2023/04/17/tech/google-ai-search-engine-stock-drop/index.html,"Shares of Google-parent Alphabet fell more than 3% in early trading Monday after a report sparked concerns that its core search engine could lose market share to AI-powered rivals, including Microsoft's Bing.","Mon, 17 Apr 2023 15:52:19 GMT"
CNN.com - RSS Channel - HP Hero,Bidets save you money and reduce waste — we tested the best options out there,https://www.cnn.com/cnn-underscored/reviews/best-bidets?iid=CNNUnderscoredHPcontainer,,Unknown
CNN.com - RSS Channel - HP Hero,50+ products to make your life easier and our planet cleaner,https://www.cnn.com/cnn-underscored/home/editors-favorite-sustainable-products?iid=CNNUnderscoredHPcontainer,,Unknown
CNN.com - RSS Channel - HP Hero,Mother's Day is around the corner. Here are 50+ thoughtful gifts she'll love,https://www.cnn.com/cnn-underscored/gifts/best-mothers-day-gifts-2023?iid=CNNUnderscoredHPcontainer,,Unknown
CNN.com - RSS Channel - HP Hero,"A head-to-toe guide of how men should dress this spring, and where they should shop",https://www.cnn.com/cnn-underscored/fashion/mens-spring-fashion-style-guide?iid=CNNUnderscoredHPcontainer,,Unknown
CNN.com - RSS Channel - HP Hero,42 of the most useful travel products you can buy on Amazon,https://www.cnn.com/cnn-underscored/travel/amazon-travel-products?iid=CNNUnderscoredHPcontainer,,Unknown
CNN.com - RSS Channel - HP Hero,The 7 best high-yield savings accounts of April 2023,https://www.cnn.com/cnn-underscored/money/high-yield-savings-accounts?iid=CNNUnderscoredHPcontainer,,Unknown
CNN.com - RSS Channel - HP Hero,Taxes are due tomorrow. Here's how to file for an extension,https://www.cnn.com/cnn-underscored/money/how-to-file-taxes?iid=CNNUnderscoredHPcontainer,,Unknown
CNN.com - RSS Channel - HP Hero,Composting is an easy way to reduce food waste. Here's how to do it,https://www.cnn.com/cnn-underscored/home/how-to-compost-at-home?iid=CNNUnderscoredHPcontainer,,Unknown
CNN.com - RSS Channel - HP Hero,We stopped using aluminum foil for cooking and you should too. Here's what to use instead,https://www.cnn.com/cnn-underscored/reviews/mmmat-silicone-mats?iid=CNNUnderscoredHPcontainer,,Unknown
CNN.com - RSS Channel - HP Hero,The beloved Dyson Supersonic hair dryer is at its lowest price ever,https://www.cnn.com/cnn-underscored/deals/dyson-supersonic-sale-2023-04-17?iid=CNNUnderscoredHPcontainer?iid=CNNUnderscoredHPcontainer,,Unknown
CNN.com - RSS Channel - HP Hero,"Everything you need to know about Way Day 2023, Wayfair's biggest sale of the year",https://www.cnn.com/cnn-underscored/deals/wayfair-way-day-2023-04-17?iid=CNNUnderscoredHPcontainer,,Unknown
CNN.com - RSS Channel - HP Hero,The 10 best Amazon deals to shop this week,https://www.cnn.com/cnn-underscored/deals/best-amazon-deals-2023-04-12?iid=CNNUnderscoredHPcontainer,,Unknown
CNN.com - RSS Channel - HP Hero,Mifepristone saved my life,https://www.cnn.com/2023/04/18/opinions/medication-abortion-mifepristone-miscarriage-jones-ctpr/index.html,"The ruling earlier this month by a Texas federal judge to suspend the US Food and Drug Administration's approval of a drug that is used frequently for medication abortions, is very personal for me.","Tue, 18 Apr 2023 11:30:00 GMT"
CNN.com - RSS Channel - HP Hero,The 2024 presidential alternative many voters will want,https://www.cnn.com/2023/04/18/opinions/2024-presidential-election-alternative-voters-lieberman,,Unknown
